1786395468220	module-01	What is an LLM, in one sentence?	A model whose one trick is predicting the next token of text, grown from internet-scale data — not a database, not a mind.
1786395468222	module-01	What is a token?	The chunk-of-text unit (word/part-word/punctuation → ID number) that models actually read and write — never letters.
1786395468224	module-01	Why are LLMs bad at counting letters in a word?	They see tokens (chunks), not letters — the letters are hidden inside the bricks.
1786395468226	module-01	Parameters/weights are…	The millions–billions of learned numbers that ARE the model ("a mixing desk with a billion sliders").
1786395468228	module-01	Training vs inference?	Training = tuning the parameters on data (slow, expensive). Inference = using the tuned model to generate (every chat).
1786395468230	module-01	What does pretraining produce?	A BASE model — an internet-document simulator that continues text; it doesn't answer, it continues.
1786395468232	module-01	The "lossy zip" intuition is…	Parameters compress the internet lossily: near-exact recall of oft-repeated text, vague recollection of everything else.
1786395468234	module-01	What turns a base model into an assistant?	Supervised fine-tuning (SFT): training on labeller-written ideal conversations until it imitates the ideal helpful assistant.
1786395468236	module-01	When you chat with an assistant model you are really talking to…	A statistical simulation of a helpful human labeller following guidelines.
1786395468238	module-01	Why do LLMs hallucinate?	Confident-answer style (from SFT) applied where the weights hold only vague recollection — likelihood fills the gap, no concept of truth.
1786395468240	module-01	Two patches for hallucination?	Train "I don't know" on probed blind spots; tool use/retrieval that pastes real sources into the context.
1786395468242	module-01	Context window vs weights?	Context = working memory (open book on the desk, reliable). Weights = vague recollection (things half-remembered from school).
1786395468244	module-01	Why does "think step by step" work mechanically?	Compute per emitted token is fixed and shallow; spreading reasoning over many tokens buys more total computation.
1786395468246	module-01	What is jagged intelligence?	Swiss-cheese capability: PhD-level on some tasks, failing 9.11-vs-9.9 on others — so calibrate trust per task, never per model.
1786395468248	module-01	Where does RL-with-verification work best and why?	Maths and code — answers can be checked automatically, giving a reliable reward signal at scale.
1786395468250	module-01	What did DeepSeek-R1 demonstrate?	RL alone can make a model discover its own longer, self-correcting chains of thought ("aha" moments nobody wrote).
1786395468252	module-01	Why is AlphaGo's move 37 relevant to LLMs?	Imitation caps you at human level; RL against the real goal can exceed it — the hope behind reasoning models.
1786395468254	module-01	What is RLHF, in one sentence?	RL for uncheckable domains: humans compare outputs → a reward model learns their preferences → the model is optimised to please it, briefly.
1786395468256	module-01	Why is RLHF run only briefly?	The reward model is a gameable simulation of preference — over-optimise and you get adversarial junk it loves and humans hate.
1786395468258	module-01	The mechanical root of sycophancy?	Models are optimised to be PREFERRED, and agreeing with a confident user tends to be preferred — preferred ≠ true.
1786395468260	module-01	Kernighan's Law and its consequence for AI code?	Debugging is twice as hard as writing — so code at the edge of your comprehension is undebuggable by you; never ship what you couldn't write.
1786395468262	module-01	What is vibe coding and when is it rational?	Prompting AI for code without really reading it; rational for prototypes/small scope in stacks you could write yourself — comprehension is the safety line.
1786395468264	module-01	Three principles behind "vibe coding that doesn't suck"?	Feed the model current true context; let it see real errors; wire automatic verification around it.
1786395468266	module-01	What is MCP (plain words)?	Model Context Protocol — a standard plug connecting an AI tool to outside systems (docs, errors, infra) so it works from live truth.
1786395468268	module-01	What is an API (plain words)?	A programme-to-programme doorway: your code sends a request, the service sends back an answer.
1786395468270	module-01	What is RAG (plain words)?	Retrieval-augmented generation: fetch relevant documents first, paste them into the context, answer open-book.
1786395468272	module-01	What is an agent (plain words)?	An LLM given tools and a loop so it can act (search, run code, edit files), not just answer.
1786395468274	module-01	What is an eval (plain words)?	Written-down tests for AI behaviour: fixed tasks + a scoring method, so changes get measured, not vibed.
1786395468276	module-01	Ebbelaar's six AI-engineer stages?	Foundations (Python/Git/API) → system design → production backends → RAG → monitoring & evals → deployment.
1786395468278	module-01	The canon's two house laws?	"There is no ChatGPT in the interview" and "never let AI write code you couldn't write yourself."
1786395468280	module-02	The illusion of knowing is…	Feeling you could do what you only watched being done — AI's default failure mode for learners.
1786395468282	module-02	The single best-evidenced study technique the contract enforces?	Active recall — answering from memory (quizzes, explain-backs) instead of re-reading.
1786395468284	module-02	Spaced repetition in one sentence?	Review just before you'd forget, at stretching intervals — each success pushes the next review further out.
1786395468286	module-02	What does FSRS do?	Learns YOUR forgetting curve and schedules each card's next review — no hand-tuning.
1786395468288	module-02	Your three fixed Anki numbers?	Desired retention 0.90 · 10 new cards/day · emergency backlog cap 20 reviews + bulk-suspend.
